step,agent_id,belief
0,1,0.40542329098136126
0,2,0.6681815629968098
0,3,0.4761055915663862
0,4,0.3804979279438143
0,5,0.6101162804392066
0,6,0.1479025400260737
0,7,0.32926633337217065
0,8,0.6629838810508992
0,9,0.5838195380151516
0,10,-0.00030119785581211866
0,11,0.5252400745553787
0,12,0.5542687119299536
0,13,0.7157633136711545
0,14,0.5951711769283317
0,15,0.48776786967694796
0,16,0.7083930075101206
0,17,0.14898265965566615
0,18,0.5316926033414902
0,19,0.3600636656731777
0,20,0.1690867924247487
0,21,0.7170909153700035
0,22,0.5332367072980392
0,23,0.4435621611314602
0,24,0.8486659600497786
0,25,0.34479323364326425
0,26,0.42367872927376315
0,27,0.7863410236724908
0,28,0.358852565727785
0,29,0.5551603082310153
0,30,0.3563797020545681
0,31,-0.05312980599026218
0,32,0.06395851780452727
0,33,0.1859410288521926
0,34,0.6562902866387957
0,35,0.5211140650297216
0,36,0.6410647023838407
0,37,0.22767403892265123
0,38,0.30259696698461697
0,39,-0.0634387033499052
0,40,0.4464765422604237
0,41,0.31188666924064307
0,42,0.4863308921077175
0,43,0.36422229524896765
0,44,0.2667656778233269
0,45,-0.07463274323401992
0,46,0.7028328709190286
0,47,0.3930256958503051
0,48,0.8936711431381876
0,49,-0.003439968712925734
0,50,-0.12448711354614433
0,51,0.48918984787383407
0,52,0.7151352786352287
0,53,0.42423879812664317
0,54,0.19376962553545873
0,55,0.25904480163679483
0,56,0.5190744551697212
0,57,0.6650420982626573
0,58,0.43131620848302754
0,59,0.7551392560190351
0,60,0.7590158000951713
0,61,0.1469009455367293
0,62,0.48919479135461746
0,63,0.37461651787360334
0,64,0.48501546598380574
0,65,0.7276249280451483
0,66,0.10629999272410426
0,67,0.13364377899499094
0,68,0.8214308554379575
0,69,0.26567440906890694
0,70,0.20808159953421446
0,71,0.6411158014504639
0,72,0.15376993163376831
0,73,0.4937470448304089
0,74,0.595816572791343
0,75,0.5591697982727395
0,76,0.35551491853435097
0,77,0.2928721735064395
0,78,0.2640184171640488
0,79,0.12332513842920734
0,80,0.3759214244383637
0,81,0.22220376017641336
0,82,0.5666688368317514
0,83,0.10764820890634627
0,84,0.6025274402057521
0,85,0.6238296554020999
0,86,0.6844722215793051
0,87,0.8315813554374989
0,88,0.5658521257537148
0,89,0.3002247137479613
0,90,0.588540180514675
0,91,0.793833533256979
0,92,0.8257377307692644
0,93,0.7987047370511626
0,94,0.4739527537162097
0,95,0.4620495689256489
0,96,0.13729581238773544
0,97,0.08583855985764602
0,98,0.7684878594257576
0,99,0.29629483571699256
0,100,0.16946102938340823
1,1,0.4081656558450044
1,2,0.6495384368386453
1,3,0.48380038422505883
1,4,0.3814627996874121
1,5,0.5809180719733461
1,6,0.18055867157294792
1,7,0.34778531309569827
1,8,0.6308553207416264
1,9,0.590284685692366
1,10,0.07932703901770818
1,11,0.5211451200330406
1,12,0.5550766614509286
1,13,0.6625559772469597
1,14,0.5627986829298195
1,15,0.47124167287034696
1,16,0.6538122903935338
1,17,0.2205593850980808
1,18,0.5072263280028304
1,19,0.38098177785732507
1,20,0.1888378873557618
1,21,0.6682070328337167
1,22,0.5192291116053899
1,23,0.44181375632945685
1,24,0.7820564437913905
1,25,0.35754028070151145
1,26,0.43180623314148825
1,27,0.7317714816720577
1,28,0.35936068082346895
1,29,0.5543617988826338
1,30,0.4034209572528817
1,31,0.024286436020047986
1,32,0.09862761834217273
1,33,0.23141546625502016
1,34,0.6237382349276435
1,35,0.5349487792622117
1,36,0.6396526711848696
1,37,0.2838658560733132
1,38,0.2700797474496468
1,39,0.013267181596577776
1,40,0.468022659638484
1,41,0.3401675327569444
1,42,0.4773413807779202
1,43,0.40604381052508476
1,44,0.27856876535283204
1,45,0.01386190797659155
1,46,0.7010233650195759
1,47,0.40896086731676273
1,48,0.8326684520292662
1,49,0.06908433365537205
1,50,-0.0036604055590152285
1,51,0.46799770145503067
1,52,0.6581918991288378
